Jahr,Kanton,Total,1,2,3,4,5,6+
2012,Schweiz,15.9,18.3,17.3,16.0,15.4,15.1,15.9
2012,Zürich,18.5,21.6,20.3,18.5,17.8,17.7,18.6
2012,Bern,14.7,17.5,15.5,15.0,14.3,13.9,14.2
2012,Luzern,15.0,19.3,16.9,15.4,14.3,14.3,13.9
2012,Uri,12.9,,14.9,12.9,12.8,12.2,12.9
2012,Schwyz,16.8,17.4,18.5,16.9,16.4,16.4,17.2
2012,Obwalden,14.2,,16.0,14.4,13.9,13.1,13.0
2012,Nidwalden,15.8,26.5,18.8,15.8,15.0,15.6,14.2
2012,Glarus,12.3,14.3,12.9,12.4,12.4,11.9,12.0
2012,Zug,19.4,21.0,21.6,19.6,18.6,19.1,22.6
2012,Freiburg,14.4,17.1,16.1,14.6,13.8,12.8,13.1
2012,Solothurn,13.5,15.5,14.8,13.5,13.4,12.5,11.9
2012,Basel-Stadt,16.9,19.1,17.5,16.6,16.7,16.5,18.3
2012,Basel-Landschaft,16.7,14.5,17.7,16.9,16.5,16.4,16.9
2012,Schaffhausen,12.9,15.4,14.9,13.0,12.7,11.6,11.5
2012,Appenzell A.Rh.,13.0,15.0,14.9,12.9,13.1,11.2,13.7
2012,Appenzell I.Rh.,13.9,,11.6,13.9,14.1,14.9,13.1
2012,St.Gallen,13.9,16.5,14.9,14.2,13.7,13.4,12.3
2012,Graubünden,15.3,17.1,17.5,16.0,14.9,12.5,13.8
2012,Aargau,14.9,17.8,16.5,15.2,14.6,13.6,12.9
2012,Thurgau,13.2,13.5,14.7,13.7,13.0,12.4,11.2
2012,Tessin,13.4,11.9,13.4,13.4,13.4,13.9,15.6
2012,Waadt,16.8,20.6,17.8,16.6,16.2,16.0,17.7
2012,Wallis,13.7,15.6,15.8,13.6,13.1,13.0,12.8
2012,Neuenburg,12.5,13.8,12.6,12.3,12.6,12.3,13.1
2012,Genf,18.7,18.1,18.8,18.5,18.5,18.5,23.2
2012,Jura,11.2,9.9,11.5,11.1,11.6,10.4,11.0
2013,Schweiz,16.0,17.6,17.2,16.1,15.5,15.5,16.7
2013,Zürich,18.7,21.8,20.1,18.8,17.9,17.9,19.4
2013,Bern,14.6,15.4,15.5,14.6,14.3,14.0,14.5
2013,Luzern,15.2,18.1,17.0,15.5,14.5,14.4,14.8
2013,Uri,13.2,15.9,14.7,14.6,12.6,12.3,11.2
2013,Schwyz,16.7,14.8,16.9,16.9,16.3,16.5,19.5
2013,Obwalden,14.3,17.8,15.8,15.4,13.3,15.0,11.0
2013,Nidwalden,16.0,18.8,15.9,16.4,15.6,16.7,14.1
2013,Glarus,12.0,11.5,11.3,13.1,12.5,9.2,11.9
2013,Zug,19.2,22.8,21.1,19.1,18.6,18.5,21.2
2013,Freiburg,14.5,16.8,16.0,14.6,13.9,13.6,14.5
2013,Solothurn,13.6,15.0,14.5,13.6,13.3,13.4,13.4
2013,Basel-Stadt,17.0,17.9,17.4,16.7,16.8,17.6,19.2
2013,Basel-Landschaft,16.5,14.5,17.6,16.5,16.2,16.7,17.3
2013,Schaffhausen,13.5,18.3,15.9,13.3,13.1,13.9,12.0
2013,Appenzell A.Rh.,13.2,13.5,15.1,12.9,13.5,12.5,11.2
2013,Appenzell I.Rh.,13.3,14.3,16.6,13.7,13.8,11.2,11.0
2013,St.Gallen,13.9,13.6,15.1,14.4,13.5,13.4,13.3
2013,Graubünden,15.3,15.2,17.5,16.1,14.7,13.7,12.9
2013,Aargau,15.0,15.7,16.1,15.5,14.6,13.8,14.7
2013,Thurgau,13.2,14.9,14.8,13.5,13.0,12.4,12.1
2013,Tessin,13.6,10.9,13.2,13.7,13.8,15.1,13.9
2013,Waadt,16.9,19.9,17.9,16.6,16.3,16.3,17.9
2013,Wallis,13.6,14.3,14.8,13.7,13.0,12.8,13.5
2013,Neuenburg,12.6,12.5,12.9,12.3,12.7,12.3,14.4
2013,Genf,19.1,18.3,19.2,18.7,18.6,19.1,25.1
2013,Jura,11.3,9.4,11.3,11.6,11.4,10.6,11.4
2014,Schweiz,16.2,18.0,17.2,16.3,15.7,15.6,16.6
2014,Zürich,18.7,21.6,20.2,18.8,17.9,17.8,19.5
2014,Bern,14.7,14.9,15.7,15.0,14.4,14.0,14.0
